iter	Passed	Remaining
237	23872	76432
238	23972	76329
239	24064	76203
240	24159	76088
241	24258	75982
242	24351	75859
243	24445	75739
244	24537	75614
245	24635	75509
246	24727	75383
247	24823	75271
248	24918	75156
249	25009	75029
250	25104	74914
251	25196	74790
252	25291	74674
253	25384	74553
254	25479	74438
255	25579	74341
256	25677	74235
257	25784	74154
258	25876	74032
259	25972	73922
260	26068	73811
261	26164	73698
262	26258	73584
263	26362	73495
264	26461	73393
265	26560	73290
266	26654	73174
267	26749	73063
268	26850	72966
269	26954	72877
270	27054	72776
271	27151	72669
272	27243	72550
273	27342	72446
274	27441	72346
275	27541	72246
276	27644	72155
277	27738	72041
278	27844	71957
279	27944	71856
280	28042	71752
281	28139	71645
282	28240	71548
283	28334	71435
284	28430	71324
285	28523	71208
286	28620	71102
287	28711	70980
288	28806	70869
289	28905	70767
290	28998	70653
291	29094	70543
292	29191	70438
293	29288	70333
294	29381	70217
295	29477	70107
296	29574	70003
297	29672	69898
298	29764	69783
299	29861	69676
300	29953	69560
301	30060	69476
302	30153	69362
303	30260	69279
304	30361	69183
305	30458	69079
306	30557	68978
307	30661	68889
308	30754	68773
309	30854	68676
310	30948	68564
311	31049	68468
312	31152	68377
313	31251	68275
314	31345	68164
315	31440	68054
316	31540	67957
317	31633	67843
318	31732	67742
319	31827	67633
320	31924	67529
321	32022	67426
322	32124	67331
323	32238	67262
324	32335	67158
325	32425	67039
326	32521	66932
327	32619	66830
328	32708	66709
329	32801	66596
330	32894	66485
331	32989	66376
332	33081	66261
333	33176	66155
334	33266	66035
335	33358	65923
336	33458	65824
337	33554	65718
338	33647	65607
339	33747	65509
340	33846	65409
341	33936	65293
342	34040	65202
343	34131	65087
344	34230	64988
345	34329	64888
346	34426	64785
347	34517	64671
348	34615	64570
349	34709	64461
350	34802	64349
351	34896	64241
352	34986	64125
353	35082	64020
354	35180	63918
355	35277	63816
356	35370	63706
357	35463	63595
358	35557	63489
359	35651	63379
360	35744	63270
361	35840	63165
362	35938	63065
363	36032	62957
364	36129	62855
365	36224	62750
366	36325	62654
367	36426	62558
368	36531	62469
369	36627	62365
370	36728	62269
371	36820	62159
372	36918	62058
373	37013	61952
374	37110	61850
375	37202	61740
376	37291	61625
377	37392	61528
378	37485	61420
379	37579	61313
380	37667	61198
381	37761	61090
382	37848	60972
383	37944	60868
384	38040	60765
385	38137	60664
386	38232	60560
387	38327	60454
388	38421	60348
389	38525	60258
390	38618	60149
391	38731	60072
392	38826	59969
393	38926	59871
394	39027	59776
395	39126	59677
396	39223	59576
397	39317	59470
398	39409	59360
